"","lad","t2m","date"
"1","E06000001",4.87,"2021-01-01"
"2","E06000002",3.61,"2021-01-01"
"3","E06000003",4.07,"2021-01-01"
"4","E06000004",3.38,"2021-01-01"
"5","E06000005",2.46,"2021-01-01"
"6","E06000006",-0.31,"2021-01-01"
"7","E06000007",-1.15,"2021-01-01"
"8","E06000008",-1.97,"2021-01-01"
"9","E06000009",2.11,"2021-01-01"
"10","E06000010",-0.36,"2021-01-01"
"11","E06000011",0.38,"2021-01-01"
"12","E06000012",-1.28,"2021-01-01"
"13","E06000013",-1.33,"2021-01-01"
"14","E06000014",-0.08,"2021-01-01"
"15","E06000015",-1.11,"2021-01-01"
"16","E06000016",-1.33,"2021-01-01"
"17","E06000017",-1.42,"2021-01-01"
"18","E06000018",-1.19,"2021-01-01"
"19","E06000019",-2.69,"2021-01-01"
"20","E06000020",-0.95,"2021-01-01"
"21","E06000021",-0.72,"2021-01-01"
"22","E06000022",-1.52,"2021-01-01"
"23","E06000023",-2.39,"2021-01-01"
"24","E06000024",-1.68,"2021-01-01"
"25","E06000025",-2.06,"2021-01-01"
"26","E06000026",-0.72,"2021-01-01"
"27","E06000027",0.86,"2021-01-01"
"28","E06000028",0.72,"2021-01-01"
"29","E06000029",-0.15,"2021-01-01"
"30","E06000030",-1.8,"2021-01-01"
"31","E06000031",-1.31,"2021-01-01"
"32","E06000039",-0.91,"2021-01-01"
"33","E06000040",-1.13,"2021-01-01"
"34","E06000041",-1.38,"2021-01-01"
"35","E06000042",-1.46,"2021-01-01"
"36","E06000043",2.34,"2021-01-01"
"37","E06000032",-1.19,"2021-01-01"
"38","E06000033",1.31,"2021-01-01"
"39","E06000034",0.01,"2021-01-01"
"40","E06000035",0.12,"2021-01-01"
"41","E06000036",-1.27,"2021-01-01"
"42","E06000037",-1.73,"2021-01-01"
"43","E06000044",1.27,"2021-01-01"
"44","E06000045",-2.17,"2021-01-01"
"45","E06000046",0.68,"2021-01-01"
"46","E06000047",2.78,"2021-01-01"
"47","E06000049",-1.23,"2021-01-01"
"48","E06000050",-0.36,"2021-01-01"
"49","E06000051",-1.4,"2021-01-01"
"50","E06000052",-0.18,"2021-01-01"
"51","E06000053",6.41,"2021-01-01"
"52","E06000054",-2.2,"2021-01-01"
"53","E06000055",-1.23,"2021-01-01"
"54","E06000056",-1.17,"2021-01-01"
"55","E06000057",4.04,"2021-01-01"
"56","E07000004",-1.44,"2021-01-01"
"57","E07000005",-1.14,"2021-01-01"
"58","E07000006",-0.96,"2021-01-01"
"59","E07000007",-1.33,"2021-01-01"
"60","E07000088",0,"2021-01-01"
"61","E07000089",-1.71,"2021-01-01"
"62","E07000090",0.66,"2021-01-01"
"63","E07000091",-0.29,"2021-01-01"
"64","E07000092",-1.43,"2021-01-01"
"65","E07000093",-2.29,"2021-01-01"
"66","E07000094",-2.06,"2021-01-01"
"67","E07000095",-0.76,"2021-01-01"
"68","E07000096",-1.06,"2021-01-01"
"69","E07000098",-0.79,"2021-01-01"
"70","E07000099",-0.95,"2021-01-01"
"71","E07000102",-0.97,"2021-01-01"
"72","E06000038",-1.45,"2021-01-01"
"73","E07000008",-1.01,"2021-01-01"
"74","E07000009",-1,"2021-01-01"
"75","E07000010",-1.27,"2021-01-01"
"76","E07000011",-1.22,"2021-01-01"
"77","E07000012",-0.97,"2021-01-01"
"78","E07000026",3.14,"2021-01-01"
"79","E07000027",3.42,"2021-01-01"
"80","E07000028",3.31,"2021-01-01"
"81","E07000029",3.23,"2021-01-01"
"82","E07000030",1.66,"2021-01-01"
"83","E07000031",1.21,"2021-01-01"
"84","E07000032",-1.12,"2021-01-01"
"85","E07000033",-1.12,"2021-01-01"
"86","E07000034",-1.35,"2021-01-01"
"87","E07000035",-1.55,"2021-01-01"
"88","E07000036",-1.15,"2021-01-01"
"89","E07000037",-1.99,"2021-01-01"
"90","E07000038",-1.38,"2021-01-01"
"91","E07000039",-1.08,"2021-01-01"
"92","E07000040",-1.94,"2021-01-01"
"93","E07000041",-2.21,"2021-01-01"
"94","E07000042",-2.12,"2021-01-01"
"95","E07000043",-0.25,"2021-01-01"
"96","E07000044",0.73,"2021-01-01"
"97","E07000045",-1.58,"2021-01-01"
"98","E07000046",-1.01,"2021-01-01"
"99","E07000047",-2.92,"2021-01-01"
"100","E07000048",1.3,"2021-01-01"
"101","E07000049",-1.05,"2021-01-01"
"102","E07000050",-2.14,"2021-01-01"
"103","E07000051",-0.4,"2021-01-01"
"104","E07000052",-2.38,"2021-01-01"
"105","E07000053",-0.12,"2021-01-01"
"106","E07000061",2.57,"2021-01-01"
"107","E07000062",1.79,"2021-01-01"
"108","E07000063",0.84,"2021-01-01"
"109","E07000064",0.01,"2021-01-01"
"110","E07000065",0.3,"2021-01-01"
"111","E07000066",0.12,"2021-01-01"
"112","E07000067",-0.41,"2021-01-01"
"113","E07000068",-0.3,"2021-01-01"
"114","E07000069",0.2,"2021-01-01"
"115","E07000070",-0.24,"2021-01-01"
"116","E07000071",0.41,"2021-01-01"
"117","E07000072",-0.56,"2021-01-01"
"118","E07000086",-2.1,"2021-01-01"
"119","E07000073",-0.65,"2021-01-01"
"120","E07000074",0.7,"2021-01-01"
"121","E07000075",1.19,"2021-01-01"
"122","E07000076",1.19,"2021-01-01"
"123","E07000077",-0.71,"2021-01-01"
"124","E07000078",-1.43,"2021-01-01"
"125","E07000079",-1.47,"2021-01-01"
"126","E07000080",-2.35,"2021-01-01"
"127","E07000087",-0.34,"2021-01-01"
"128","E07000081",-1.73,"2021-01-01"
"129","E07000082",-1.86,"2021-01-01"
"130","E07000083",-1.53,"2021-01-01"
"131","E07000084",-2.12,"2021-01-01"
"132","E07000085",-1.58,"2021-01-01"
"133","E07000103",-1,"2021-01-01"
"134","E07000105",0.2,"2021-01-01"
"135","E07000106",1.27,"2021-01-01"
"136","E07000107",-0.12,"2021-01-01"
"137","E07000108",2.2,"2021-01-01"
"138","E07000109",-0.09,"2021-01-01"
"139","E07000110",-0.48,"2021-01-01"
"140","E07000111",-0.68,"2021-01-01"
"141","E07000112",1.23,"2021-01-01"
"142","E07000113",0.39,"2021-01-01"
"143","E07000114",2.56,"2021-01-01"
"144","E07000115",-0.65,"2021-01-01"
"145","E07000116",-0.44,"2021-01-01"
"146","E07000117",-3.06,"2021-01-01"
"147","E07000118",-1.15,"2021-01-01"
"148","E07000119",1.35,"2021-01-01"
"149","E07000120",-2.34,"2021-01-01"
"150","E07000121",-0.03,"2021-01-01"
"151","E07000122",-2.46,"2021-01-01"
"152","E07000123",-0.56,"2021-01-01"
"153","E07000124",-1.62,"2021-01-01"
"154","E07000125",-3.02,"2021-01-01"
"155","E07000126",-0.75,"2021-01-01"
"156","E07000127",0.64,"2021-01-01"
"157","E07000128",0.85,"2021-01-01"
"158","E07000129",-1.34,"2021-01-01"
"159","E07000130",-1.3,"2021-01-01"
"160","E07000131",-1.44,"2021-01-01"
"161","E07000132",-1.16,"2021-01-01"
"162","E07000133",-1.48,"2021-01-01"
"163","E07000134",-1.12,"2021-01-01"
"164","E07000135",-1.46,"2021-01-01"
"165","E07000136",-1.27,"2021-01-01"
"166","E07000137",-1.01,"2021-01-01"
"167","E07000138",-1.98,"2021-01-01"
"168","E07000139",-1.74,"2021-01-01"
"169","E07000140",-1.4,"2021-01-01"
"170","E07000141",-1.51,"2021-01-01"
"171","E07000142",-1.71,"2021-01-01"
"172","E07000143",-0.43,"2021-01-01"
"173","E07000144",1.17,"2021-01-01"
"174","E07000145",3.25,"2021-01-01"
"175","E07000146",-0.13,"2021-01-01"
"176","E07000147",2.17,"2021-01-01"
"177","E07000148",0.51,"2021-01-01"
"178","E07000149",-0.03,"2021-01-01"
"179","E07000150",-1.42,"2021-01-01"
"180","E07000151",-1.42,"2021-01-01"
"181","E07000152",-1.24,"2021-01-01"
"182","E07000153",-1.44,"2021-01-01"
"183","E07000154",-1.45,"2021-01-01"
"184","E07000155",-1.41,"2021-01-01"
"185","E07000156",-1.42,"2021-01-01"
"186","E07000163",-0.74,"2021-01-01"
"187","E07000164",2,"2021-01-01"
"188","E07000165",0.65,"2021-01-01"
"189","E07000166",1.25,"2021-01-01"
"190","E07000167",1.72,"2021-01-01"
"191","E07000168",4.63,"2021-01-01"
"192","E07000169",-0.58,"2021-01-01"
"193","E07000170",-1.16,"2021-01-01"
"194","E07000171",-1.18,"2021-01-01"
"195","E07000172",-1.17,"2021-01-01"
"196","E07000173",-1.31,"2021-01-01"
"197","E07000174",-1.11,"2021-01-01"
"198","E07000175",-1.33,"2021-01-01"
"199","E07000176",-1.37,"2021-01-01"
"200","E07000177",-1.37,"2021-01-01"
"201","E07000192",-0.93,"2021-01-01"
"202","E07000178",-1.37,"2021-01-01"
"203","E07000179",-1.48,"2021-01-01"
"204","E07000180",-1.62,"2021-01-01"
"205","E07000181",-1.49,"2021-01-01"
"206","E07000187",-1.29,"2021-01-01"
"207","E07000188",-0.3,"2021-01-01"
"208","E07000189",-1.88,"2021-01-01"
"209","E07000190",-1.34,"2021-01-01"
"210","E07000191",0.52,"2021-01-01"
"211","E07000193",-1.01,"2021-01-01"
"212","E07000194",-0.95,"2021-01-01"
"213","E07000195",-0.66,"2021-01-01"
"214","E07000196",-0.82,"2021-01-01"
"215","E07000197",-0.82,"2021-01-01"
"216","E07000198",-1.28,"2021-01-01"
"217","E07000199",-0.93,"2021-01-01"
"218","E07000200",-0.11,"2021-01-01"
"219","E07000201",-0.86,"2021-01-01"
"220","E07000202",0.7,"2021-01-01"
"221","E07000203",-0.56,"2021-01-01"
"222","E07000204",-0.86,"2021-01-01"
"223","E07000205",0.83,"2021-01-01"
"224","E07000206",1.85,"2021-01-01"
"225","E07000207",-0.95,"2021-01-01"
"226","E07000208",-0.9,"2021-01-01"
"227","E07000209",-1.21,"2021-01-01"
"228","E07000210",-0.93,"2021-01-01"
"229","E07000211",-0.9,"2021-01-01"
"230","E07000212",-0.88,"2021-01-01"
"231","E07000213",-0.81,"2021-01-01"
"232","E07000214",-1.34,"2021-01-01"
"233","E07000215",-0.82,"2021-01-01"
"234","E07000216",-1.11,"2021-01-01"
"235","E07000217",-1.12,"2021-01-01"
"236","E07000218",-0.99,"2021-01-01"
"237","E07000219",-1.09,"2021-01-01"
"238","E07000220",-1.27,"2021-01-01"
"239","E07000221",-1.22,"2021-01-01"
"240","E07000222",-1.12,"2021-01-01"
"241","E07000223",2.58,"2021-01-01"
"242","E07000224",1.9,"2021-01-01"
"243","E07000225",-0.21,"2021-01-01"
"244","E07000226",-0.6,"2021-01-01"
"245","E07000227",-0.33,"2021-01-01"
"246","E07000228",-0.33,"2021-01-01"
"247","E07000229",2.59,"2021-01-01"
"248","E07000234",-1.05,"2021-01-01"
"249","E07000235",-1.55,"2021-01-01"
"250","E07000236",-1.2,"2021-01-01"
"251","E07000237",-1.2,"2021-01-01"
"252","E07000238",-1.29,"2021-01-01"
"253","E07000239",-1.04,"2021-01-01"
"254","E07000240",-0.85,"2021-01-01"
"255","E07000241",-0.79,"2021-01-01"
"256","E07000242",-0.79,"2021-01-01"
"257","E07000243",-1.01,"2021-01-01"
"258","E08000001",-1.52,"2021-01-01"
"259","E08000002",-2.59,"2021-01-01"
"260","E08000003",-2.41,"2021-01-01"
"261","E08000004",-2.2,"2021-01-01"
"262","E08000005",-2.56,"2021-01-01"
"263","E08000006",-1.93,"2021-01-01"
"264","E08000007",-2.18,"2021-01-01"
"265","E08000008",-2.18,"2021-01-01"
"266","E08000009",-2.08,"2021-01-01"
"267","E08000010",-1.11,"2021-01-01"
"268","E08000011",-0.19,"2021-01-01"
"269","E08000012",1.24,"2021-01-01"
"270","E08000013",-0.6,"2021-01-01"
"271","E08000014",1.89,"2021-01-01"
"272","E08000015",1.11,"2021-01-01"
"273","E08000016",-1.55,"2021-01-01"
"274","E08000017",-1.15,"2021-01-01"
"275","E08000018",-1.23,"2021-01-01"
"276","E08000019",-1.56,"2021-01-01"
"277","E08000021",4.31,"2021-01-01"
"278","E08000022",4.91,"2021-01-01"
"279","E08000023",4.97,"2021-01-01"
"280","E08000024",4.54,"2021-01-01"
"281","E08000025",-0.84,"2021-01-01"
"282","E08000026",-1.09,"2021-01-01"
"283","E08000027",-0.79,"2021-01-01"
"284","E08000028",-0.79,"2021-01-01"
"285","E08000029",-0.94,"2021-01-01"
"286","E08000030",-0.81,"2021-01-01"
"287","E08000031",-0.79,"2021-01-01"
"288","E08000032",-1.45,"2021-01-01"
"289","E08000033",-2.29,"2021-01-01"
"290","E08000034",-1.76,"2021-01-01"
"291","E08000035",-0.61,"2021-01-01"
"292","E08000036",-0.87,"2021-01-01"
"293","E08000037",4.34,"2021-01-01"
"294","E09000001",-0.73,"2021-01-01"
"295","E09000002",-0.33,"2021-01-01"
"296","E09000003",-0.71,"2021-01-01"
"297","E09000004",-0.32,"2021-01-01"
"298","E09000019",-0.72,"2021-01-01"
"299","E09000005",-0.66,"2021-01-01"
"300","E09000006",-0.73,"2021-01-01"
"301","E09000007",-0.66,"2021-01-01"
"302","E09000008",-0.79,"2021-01-01"
"303","E09000009",-0.68,"2021-01-01"
"304","E09000010",-0.76,"2021-01-01"
"305","E09000011",-0.73,"2021-01-01"
"306","E09000012",-0.73,"2021-01-01"
"307","E09000013",-0.66,"2021-01-01"
"308","E09000014",-0.71,"2021-01-01"
"309","E09000015",-0.69,"2021-01-01"
"310","E09000016",-0.12,"2021-01-01"
"311","E09000017",-0.81,"2021-01-01"
"312","E09000018",-0.74,"2021-01-01"
"313","E09000020",-0.66,"2021-01-01"
"314","E09000033",-0.66,"2021-01-01"
"315","S12000005",2.01,"2021-01-01"
"316","E09000021",-0.73,"2021-01-01"
"317","S12000006",3.52,"2021-01-01"
"318","S12000008",1.94,"2021-01-01"
"319","S12000010",4.41,"2021-01-01"
"320","E09000022",-0.7,"2021-01-01"
"321","E09000023",-0.73,"2021-01-01"
"322","S12000011",1.1,"2021-01-01"
"323","S12000013",5.84,"2021-01-01"
"324","S12000014",1.99,"2021-01-01"
"325","S12000015",3.55,"2021-01-01"
"326","S12000017",2.86,"2021-01-01"
"327","S12000018",0.78,"2021-01-01"
"328","S12000019",2.67,"2021-01-01"
"329","S12000020",3.44,"2021-01-01"
"330","S12000021",3.98,"2021-01-01"
"331","S12000023",6.82,"2021-01-01"
"332","S12000024",1.5,"2021-01-01"
"333","S12000026",3.15,"2021-01-01"
"334","S12000027",6.45,"2021-01-01"
"335","S12000028",3.62,"2021-01-01"
"336","S12000029",1.71,"2021-01-01"
"337","S12000030",1.16,"2021-01-01"
"338","E09000024",-0.66,"2021-01-01"
"339","E09000025",-0.73,"2021-01-01"
"340","E09000026",-0.67,"2021-01-01"
"341","E09000027",-0.67,"2021-01-01"
"342","S12000033",5.25,"2021-01-01"
"343","S12000034",3.94,"2021-01-01"
"344","S12000035",3.79,"2021-01-01"
"345","S12000036",2.93,"2021-01-01"
"346","S12000038",1.49,"2021-01-01"
"347","S12000039",1.37,"2021-01-01"
"348","S12000040",2.19,"2021-01-01"
"349","E09000028",-0.73,"2021-01-01"
"350","S12000041",3.06,"2021-01-01"
"351","E09000029",-0.84,"2021-01-01"
"352","W06000016",-3.44,"2021-01-01"
"353","W06000018",-3.75,"2021-01-01"
"354","W06000019",-4.56,"2021-01-01"
"355","W06000020",-3.74,"2021-01-01"
"356","W06000021",-3.37,"2021-01-01"
"357","W06000022",-2.33,"2021-01-01"
"358","W06000023",-3.12,"2021-01-01"
"359","W06000024",-4.49,"2021-01-01"
"360","E09000030",-0.73,"2021-01-01"
"361","E09000031",-0.73,"2021-01-01"
"362","E09000032",-0.66,"2021-01-01"
"363","S12000042",3.51,"2021-01-01"
"364","S12000044",1.62,"2021-01-01"
"365","S12000045",1.47,"2021-01-01"
"366","S12000046",1.16,"2021-01-01"
"367","W06000001",2.78,"2021-01-01"
"368","W06000002",-0.1,"2021-01-01"
"369","W06000003",-0.26,"2021-01-01"
"370","W06000004",-0.35,"2021-01-01"
"371","W06000005",0.38,"2021-01-01"
"372","W06000006",-0.52,"2021-01-01"
"373","W06000008",-2.54,"2021-01-01"
"374","W06000009",1.76,"2021-01-01"
"375","W06000010",-2.98,"2021-01-01"
"376","W06000011",-1.07,"2021-01-01"
"377","W06000012",-3.64,"2021-01-01"
"378","W06000013",-1.99,"2021-01-01"
